Div,Y,Team,priorGD
La_Liga,17,Real Madrid,1.4175116197604511
La_Liga,17,Sevilla,0.3793548368948197
La_Liga,17,Sociedad,0.056372726669956505
La_Liga,17,Valencia,-0.289679534285254
La_Liga,17,Villarreal,0.4485652890858618
La_Liga,18,Alaves,-0.3000611021139104
La_Liga,18,Ath Bilbao,-0.25392080065321565
La_Liga,18,Ath Madrid,0.7611658314820686
La_Liga,18,Barcelona,1.545550956313879
La_Liga,18,Betis,-0.09242974554078406
La_Liga,18,Celta,-0.09242974554078406
La_Liga,18,Eibar,-0.2077804991925209
La_Liga,18,Espanol,-0.2077804991925209
La_Liga,18,Getafe,0.13827176176268963
La_Liga,18,Girona,-0.276990951383563
La_Liga,18,Huesca,-0.5682185765053326
La_Liga,18,Leganes,-0.46155215722634196
La_Liga,18,Levante,-0.39234170503529986
La_Liga,18,Real Madrid,1.0841479417069317
La_Liga,18,Sevilla,-0.276990951383563
La_Liga,18,Sociedad,0.09213146030199489
La_Liga,18,Valencia,0.5535344749089424
La_Liga,18,Valladolid,-0.5682185765053326
La_Liga,18,Vallecano,-0.5682185765053326
La_Liga,18,Villarreal,0.09213146030199489
Ligue_1,15,Ajaccio GFCO,-0.516310737362051
Ligue_1,15,Angers,-0.516310737362051
Ligue_1,15,Bastia,-0.2250831122402814
Ligue_1,15,Bordeaux,0.05175869652388701
Ligue_1,15,Caen,-0.04052190639750247
Ligue_1,15,Guingamp,-0.34043386589201824
Ligue_1,15,Lille,0.005618395063192273
Ligue_1,15,Lorient,-0.1558726600492393
Ligue_1,15,Lyon,0.8822841228163925
Ligue_1,15,Marseille,0.7669333691646555
Ligue_1,15,Monaco,0.5593020125915292
Ligue_1,15,Montpellier,0.14403929944527646
Ligue_1,15,Nantes,-0.27122341370097613
Ligue_1,15,Nice,-0.2250831122402814
Ligue_1,15,Paris SG,1.0668453286591713
Ligue_1,15,Reims,-0.4557846195437551
Ligue_1,15,Rennes,-0.1789428107795867
Ligue_1,15,St Etienne,0.4670214096701398
Ligue_1,15,Toulouse,-0.50192492100445
Ligue_1,15,Troyes,-0.516310737362051
Ligue_1,16,Angers,0.0183069779648833
Ligue_1,16,Bastia,-0.16625422787789562
Ligue_1,16,Bordeaux,-0.18932437860824303
Ligue_1,16,Caen,-0.32774528299032724
Ligue_1,16,Dijon,-0.5266923051907074
Ligue_1,16,Guingamp,-0.23546468006893773
Ligue_1,16,Lille,0.249008485268357
Ligue_1,16,Lorient,-0.2816049815296325
Ligue_1,16,Lyon,0.5258502940325254
Ligue_1,16,Marseille,0.11058758088627277
Ligue_1,16,Metz,-0.5266923051907074
Ligue_1,16,Monaco,0.13365773161662015
Ligue_1,16,Montpellier,0.0183069779648833
Ligue_1,16,Nancy,-0.5266923051907074
Ligue_1,16,Nantes,-0.2816049815296325
Ligue_1,16,Nice,0.36435923892009386
Ligue_1,16,Paris SG,1.8869891871230202
Ligue_1,16,Rennes,-0.07397362495650618
Ligue_1,16,St Etienne,0.0875174301559254
Ligue_1,16,Toulouse,-0.25853483079928513
Ligue_1,17,Amiens,-0.5128502147524989
Ligue_1,17,Angers,-0.22162258963072928
Ligue_1,17,Bordeaux,0.2167102742458707
Ligue_1,17,Caen,-0.6830256042376768
Ligue_1,17,Dijon,-0.2908330418217714
Ligue_1,17,Guingamp,-0.17548228817003458
Ligue_1,17,Lille,-0.17548228817003458
Ligue_1,17,Lyon,0.7242535903135129
Ligue_1,17,Marseille,0.35513117862795496
Ligue_1,17,Metz,-0.7753062071590662
Ligue_1,17,Monaco,1.739340222448797
Ligue_1,17,Montpellier,-0.4292539462038556
Ligue_1,17,Nantes,-0.33697334328246614
Ligue_1,17,Nice,0.608902836661776
Ligue_1,17,Paris SG,1.2779372078418496
Ligue_1,17,Rennes,-0.15241213743968718
Ligue_1,17,St Etienne,-0.037061383787950354
Ligue_1,17,Strasbourg,-0.5128502147524989
Ligue_1,17,Toulouse,-0.10627183597899248
Ligue_1,17,Troyes,-0.5128502147524989
Ligue_1,18,Amiens,-0.14505687550194568
Ligue_1,18,Angers,-0.26040762915368254
Ligue_1,18,Bordeaux,0.08564463180152801
Ligue_1,18,Caen,-0.6064598901088931
Ligue_1,18,Dijon,-0.44496883499646145
Ligue_1,18,Guingamp,-0.2834777798840299
Ligue_1,18,Lille,-0.6295300408392405
Ligue_1,18,Lyon,0.9853805102850755
Ligue_1,18,Marseille,0.7316088522512544
Ligue_1,18,Monaco,0.8930999073636859
Ligue_1,18,Montpellier,0.039504330340833275
Ligue_1,18,Nantes,-0.14505687550194568
Ligue_1,18,Nice,-0.00663597111986146
Ligue_1,18,Nimes,-0.5285651035451048
Ligue_1,18,Paris SG,1.7928357858472335
Ligue_1,18,Reims,-0.5285651035451048
Ligue_1,18,Rennes,0.10871478253187537
Ligue_1,18,St Etienne,-0.09891657404125094
Ligue_1,18,Strasbourg,-0.5603195886481983
Ligue_1,18,Toulouse,-0.39882853353576675
Serie_A,15,Atalanta,-0.47770126273758506
Serie_A,15,Bologna,-0.538227380555881
Serie_A,15,Carpi,-0.538227380555881
Serie_A,15,Chievo,-0.33928035835550086
Serie_A,15,Empoli,-0.17778930324306927
Serie_A,15,Fiorentina,0.30668386209422555
Serie_A,15,Frosinone,-0.538227380555881
Serie_A,15,Genoa,0.30668386209422555
Serie_A,15,Inter,0.214403259172836
Serie_A,15,Juventus,1.0679988361956885
Serie_A,15,Lazio,0.7219465752404781
Serie_A,15,Milan,0.09905250552109914
Serie_A,15,Napoli,0.3297540128245729
Serie_A,15,Palermo,-0.08550870032167981
Serie_A,15,Roma,0.49124506793700445
Serie_A,15,Sampdoria,0.09905250552109914
Serie_A,15,Sassuolo,-0.22392960470376402
Serie_A,15,Torino,0.029842053330057038
Serie_A,15,Udinese,-0.33928035835550086
Serie_A,15,Verona,-0.40849081054654296
Serie_A,16,Atalanta,-0.16740773541441295
Serie_A,16,Bologna,-0.30582863979649716
Serie_A,16,Cagliari,-0.5278458127272248
Serie_A,16,Chievo,-0.07512713249302351
Serie_A,16,Crotone,-0.5278458127272248
Serie_A,16,Empoli,-0.23661818760545505
Serie_A,16,Fiorentina,0.3862758821139239
Serie_A,16,Genoa,-0.09819728322337087
Serie_A,16,Inter,0.24785497773183968
Serie_A,16,Juventus,1.2398714591367765
Serie_A,16,Lazio,-0.028986831032328766
Serie_A,16,Milan,0.10943407334975544
Serie_A,16,Napoli,1.0783804040243448
Serie_A,16,Palermo,-0.6518809007517078
Serie_A,16,Pescara,-0.5278458127272248
Serie_A,16,Roma,0.9399594996422609
Serie_A,16,Sampdoria,-0.32889879052684456
Serie_A,16,Sassuolo,0.17864452554079757
Serie_A,16,Torino,-0.09819728322337087
Serie_A,16,Udinese,-0.6057405992910131
Serie_A,17,Atalanta,0.4162670780633756
Serie_A,17,Benevento,-0.5670650689688153
Serie_A,17,Bologna,-0.4834688004201719
Serie_A,17,Cagliari,-0.5526792526112142
Serie_A,17,Chievo,-0.4834688004201719
Serie_A,17,Crotone,-0.6218897048022561
Serie_A,17,Fiorentina,0.07021481710816493
Serie_A,17,Genoa,-0.668030006262951
Serie_A,17,Inter,0.46240737952407024
Serie_A,17,Juventus,1.0853014492434492
Serie_A,17,Lazio,0.46240737952407024
Serie_A,17,Milan,0.20863572149024917
Serie_A,17,Napoli,1.200652202895186
Serie_A,17,Roma,1.1314417507041439
Serie_A,17,Sampdoria,-0.20662699165600346
Serie_A,17,Sassuolo,-0.09127623800426665
Serie_A,17,Spal,-0.5670650689688153
Serie_A,17,Torino,0.04714466637781757
Serie_A,17,Udinese,-0.27583744384704556
Serie_A,17,Verona,-0.5670650689688153
Serie_A,18,Atalanta,0.345903118335816
Serie_A,18,Bologna,-0.34620140357460505
Serie_A,18,Cagliari,-0.715323815260163
Serie_A,18,Chievo,-0.5999730616084261
