GameID,isHome,pA,pH,pD,Div,Y,Date,Team,G,S,xG,GD,SD,xGD
273,True,0.2262737013192471,0.4851938570576891,0.28853244162306363,Ligue_1,14,2014-09-27,Metz,3,17,1.57463,3,13,1.454877
274,False,0.21841567139851226,0.4857303737071392,0.2958539548943484,Ligue_1,14,2014-09-27,Guingamp,1,11,0.440641,-1,2,-0.5173589999999999
274,True,0.21841567139851226,0.4857303737071392,0.2958539548943484,Ligue_1,14,2014-09-27,Montpellier,2,9,0.958,1,-2,0.5173589999999999
275,False,0.5619488620521875,0.18073771163970545,0.2573134263081069,Ligue_1,14,2014-09-27,Paris SG,1,8,0.504659,0,-3,-0.15733700000000006
275,True,0.5619488620521875,0.18073771163970545,0.2573134263081069,Ligue_1,14,2014-09-27,Toulouse,1,11,0.661996,0,3,0.15733700000000006
276,False,0.11710696059107707,0.6452515974289811,0.23764144197994186,Ligue_1,14,2014-09-27,Nice,1,8,0.392234,1,0,-0.190042
276,True,0.11710696059107707,0.6452515974289811,0.23764144197994186,Ligue_1,14,2014-09-27,Monaco,0,8,0.582276,-1,0,0.190042
277,False,0.22275483798750254,0.4902845177815382,0.2869606442309591,Ligue_1,14,2014-09-27,Evian Thonon Gaillard,2,5,0.8343649999999999,2,-11,0.04284599999999994
277,True,0.22275483798750254,0.4902845177815382,0.2869606442309591,Ligue_1,14,2014-09-27,Lorient,0,16,0.791519,-2,11,-0.04284599999999994
278,False,0.6283505920824456,0.13139771094485458,0.2402516969726997,Serie_A,14,2014-09-27,Juventus,3,16,2.69489,3,6,1.6834
278,True,0.6283505920824456,0.13139771094485458,0.2402516969726997,Serie_A,14,2014-09-27,Atalanta,0,10,1.01149,-3,-6,-1.6834
279,False,0.14753206502027766,0.6444821787727917,0.20798575620693066,Bundesliga,14,2014-09-27,Werder Bremen,1,8,0.32535,-1,-10,-0.91767
279,True,0.14753206502027766,0.6444821787727917,0.20798575620693066,Bundesliga,14,2014-09-27,Wolfsburg,2,18,1.24302,1,10,0.91767
280,False,0.12565561484875387,0.6210748861314203,0.2532694990198259,Ligue_1,14,2014-09-27,Bastia,0,8,0.464606,-1,-11,-0.2043089999999999
280,True,0.12565561484875387,0.6210748861314203,0.2532694990198259,Ligue_1,14,2014-09-27,Lille,1,19,0.6689149999999999,1,11,0.2043089999999999
281,False,0.4779399048487787,0.26624369699456424,0.25581639815665697,Bundesliga,14,2014-09-27,Dortmund,1,17,0.6620050000000001,-1,6,-0.415455
281,True,0.4779399048487787,0.26624369699456424,0.25581639815665697,Bundesliga,14,2014-09-27,Schalke 04,2,11,1.07746,1,-6,0.415455
282,False,0.4559025352488391,0.2656342685054212,0.27846319624573984,Bundesliga,14,2014-09-27,M'gladbach,2,11,1.4350399999999999,1,-13,-0.13966000000000012
282,True,0.4559025352488391,0.2656342685054212,0.27846319624573984,Bundesliga,14,2014-09-27,Paderborn,1,24,1.5747,-1,13,0.13966000000000012
283,False,0.09485163581029674,0.719756530560487,0.18539183362921635,Serie_A,14,2014-09-27,Verona,0,9,0.353371,-2,-14,-2.339479
283,True,0.09485163581029674,0.719756530560487,0.18539183362921635,Serie_A,14,2014-09-27,Roma,2,23,2.69285,2,14,2.339479
284,False,0.6101591092191907,0.1411431272762783,0.2486977635045309,Serie_A,14,2014-09-28,Milan,1,11,0.876708,0,1,-0.25378199999999995
284,True,0.6101591092191907,0.1411431272762783,0.2486977635045309,Serie_A,14,2014-09-28,Cesena,1,10,1.13049,0,-1,0.25378199999999995
285,False,0.27707073044417263,0.4173746322435622,0.3055546373122651,Serie_A,14,2014-09-28,Empoli,1,6,1.67402,0,-12,0.8366980000000002
285,True,0.27707073044417263,0.4173746322435622,0.3055546373122651,Serie_A,14,2014-09-28,Chievo,1,18,0.8373219999999999,0,12,-0.8366980000000002
286,False,0.11004708745569017,0.6856780064546849,0.20427490608962487,Serie_A,14,2014-09-28,Cagliari,4,16,3.32315,3,1,2.02008
286,True,0.11004708745569017,0.6856780064546849,0.20427490608962487,Serie_A,14,2014-09-28,Inter,1,15,1.3030700000000002,-3,-1,-2.02008
287,False,0.5447719085029733,0.2005295368722601,0.2546985546247667,Serie_A,14,2014-09-28,Napoli,1,11,1.39971,1,0,0.640301
287,True,0.5447719085029733,0.2005295368722601,0.2546985546247667,Serie_A,14,2014-09-28,Sassuolo,0,11,0.759409,-1,0,-0.640301
288,False,0.3555943413558699,0.3338232592320411,0.3105823994120889,Serie_A,14,2014-09-28,Fiorentina,1,19,1.37293,0,4,0.3286
