Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
EPL,2014-08-23,14,Chelsea,Leicester,2,0,27,6,0.8099983781928543,0.13462885132051558,0.05537277048663015,2.0293900000000002,0.550894,45,2,-2,21,-21,1.4784960000000003,-1.4784960000000003
EPL,2014-08-23,14,Aston Villa,Newcastle,0,0,9,11,0.3827893175074184,0.29164900381517594,0.3255616786774057,0.507525,0.699295,46,0,0,-2,2,-0.19177,0.19177
Bundesliga,2014-08-23,14,Dortmund,Leverkusen,0,2,11,11,0.6007940551703428,0.2230738746987833,0.1761320701308739,0.482324,1.14915,47,-2,2,0,0,-0.6668259999999999,0.6668259999999999
La_Liga,2014-08-23,14,Sevilla,Valencia,1,1,10,11,0.47802532674206,0.27070495022685714,0.2512697230310828,1.1719700000000002,1.7490299999999999,48,0,0,-1,1,-0.5770599999999997,0.5770599999999997
La_Liga,2014-08-23,14,Malaga,Ath Bilbao,1,0,12,12,0.3314770818516109,0.29114900957886297,0.37737390856952624,1.32107,1.14151,49,1,-1,0,0,0.17955999999999994,-0.17955999999999994
Ligue_1,2014-08-23,14,Lille,Lorient,2,0,13,7,0.5454735468490938,0.27504159122813465,0.17948486192277166,0.782421,0.335937,50,2,-2,6,-6,0.44648400000000005,-0.44648400000000005
Ligue_1,2014-08-23,14,Montpellier,Metz,2,0,12,12,0.5081111854905813,0.2894876783803905,0.20240113612902824,1.59321,1.5187,51,2,-2,0,0,0.07451000000000008,-0.07451000000000008
La_Liga,2014-08-23,14,Almeria,Espanol,1,1,19,12,0.34986343919027474,0.29775611845980826,0.35238044234991706,0.9787879999999999,0.399306,52,0,0,7,-7,0.5794819999999998,-0.5794819999999998
Ligue_1,2014-08-23,14,Nice,Bordeaux,1,3,11,12,0.2895184838611484,0.3039493117171558,0.4065322044216959,0.830133,1.39097,53,-2,2,-1,1,-0.560837,0.560837
La_Liga,2014-08-24,14,Levante,Villarreal,0,2,9,12,0.2552844167259637,0.2866351345695031,0.45808044870453296,0.345435,3.01412,54,-2,2,-3,3,-2.668685,2.668685
La_Liga,2014-08-24,14,Eibar,Sociedad,1,0,12,19,0.2775816336527681,0.2907605836184781,0.4316577827287538,0.465398,0.9755229999999999,55,1,-1,-7,7,-0.5101249999999999,0.5101249999999999
Bundesliga,2014-08-24,14,M'gladbach,Stuttgart,1,1,19,7,0.50509568855973,0.26270392380854585,0.2322003876317241,2.40939,0.433199,56,0,0,12,-12,1.976191,-1.976191
Bundesliga,2014-08-24,14,Paderborn,Mainz,2,2,10,14,0.31107453562191395,0.2856806959793087,0.4032447683987773,0.35254,1.84123,57,0,0,-4,4,-1.4886899999999998,1.4886899999999998
EPL,2014-08-24,14,Tottenham,QPR,4,0,18,9,0.6579867873227879,0.21129317092908487,0.13072004174812718,2.3889400000000003,1.07617,58,4,-4,9,-9,1.3127700000000002,-1.3127700000000002
EPL,2014-08-24,14,Sunderland,Man United,1,1,11,10,0.19900873299442406,0.2506598545349617,0.5503314124706142,0.666489,0.941557,59,0,0,1,-1,-0.275068,0.275068
Ligue_1,2014-08-24,14,Lyon,Lens,0,1,16,7,0.6362304422537759,0.2380030749751289,0.12576648277109526,0.907071,1.83188,60,-1,1,9,-9,-0.924809,0.924809
Ligue_1,2014-08-24,14,Nantes,Monaco,0,1,15,6,0.2607545079697212,0.30192627238599296,0.4373192196442858,2.5884099999999997,0.8351729999999999,61,-1,1,9,-9,1.7532369999999997,-1.7532369999999997
La_Liga,2014-08-24,14,Celta,Getafe,3,1,20,12,0.5104819292296443,0.2692651934398124,0.2202528773305432,1.9172099999999999,0.6739649999999999,62,2,-2,8,-8,1.243245,-1.243245
La_Liga,2014-08-24,14,Barcelona,Elche,3,0,12,3,0.8923096255340538,0.07464186981653682,0.0330485046494094,1.54124,0.10804000000000001,63,3,-3,9,-9,1.4332,-1.4332
Ligue_1,2014-08-24,14,St Etienne,Rennes,0,0,11,5,0.5664764925343745,0.2714037791529593,0.16211972831266624,1.16489,0.364811,64,0,0,6,-6,0.800079,-0.800079
EPL,2014-08-24,14,Hull,Stoke,1,1,9,19,0.3953946132752339,0.30835806318320125,0.2962473235415649,0.870175,1.6091600000000001,65,0,0,-10,10,-0.7389850000000001,0.7389850000000001
EPL,2014-08-25,14,Man City,Liverpool,3,1,9,11,0.5362090143724279,0.2422870361238378,0.2215039495037344,1.31375,0.9018889999999999,66,2,-2,-2,2,0.41186100000000003,-0.41186100000000003
La_Liga,2014-08-25,14,Vallecano,Ath Madrid,0,0,8,9,0.1387024289477276,0.22036543205852446,0.6409321389937479,0.357337,0.9015860000000001,67,0,0,-1,1,-0.5442490000000001,0.5442490000000001
La_Liga,2014-08-25,14,Real Madrid,Cordoba,2,0,14,8,0.9128737065365136,0.05796883477709613,0.029157458686390136,0.612645,0.37840999999999997,68,2,-2,6,-6,0.23423500000000003,-0.23423500000000003
La_Liga,2014-08-29,14,Valencia,Malaga,3,0,14,17,0.6171238410255148,0.2330705242827953,0.14980563469168984,1.9686299999999999,1.13196,69,3,-3,-3,3,0.8366699999999998,-0.8366699999999998
La_Liga,2014-08-29,14,Getafe,Almeria,1,0,12,11,0.4690806770899221,0.28582466913059384,0.24509465377948425,1.31774,1.31079,70,1,-1,1,-1,0.006950000000000012,-0.006950000000000012
Ligue_1,2014-08-29,14,Marseille,Nice,4,0,20,8,0.633381228459753,0.2382866272118003,0.1283321443284467,4.68663,0.699986,71,4,-4,12,-12,3.986644,-3.986644
Bundesliga,2014-08-29,14,Augsburg,Dortmund,2,3,12,22,0.19178097290267115,0.2450001928831624,0.5632188342141664,1.0042200000000001,2.30342,72,-1,1,-10,10,-1.2992,1.2992
Ligue_1,2014-08-30,14,Lorient,Guingamp,4,0,11,8,0.44993180726524346,0.3119335532797375,0.23813463945501914,2.0497400000000003,0.607468,73,4,-4,3,-3,1.4422720000000004,-1.4422720000000004
EPL,2014-08-30,14,West Ham,Southampton,1,3,4,18,0.34999070656647463,0.2857066992379384,0.36430259419558697,0.635223,1.57513,74,-2,2,-14,14,-0.9399069999999999,0.9399069999999999
Ligue_1,2014-08-30,14,Lens,Reims,4,2,17,10,0.4475524475524475,0.2983682983682983,0.2540792540792541,2.6775900000000004,1.28585,75,2,-2,7,-7,1.3917400000000004,-1.3917400000000004
EPL,2014-08-30,14,Swansea,West Brom,3,0,15,16,0.5218578067084749,0.2680581083639161,0.21008408492760888,2.02641,0.696665,76,3,-3,-1,1,1.329745,-1.329745
Ligue_1,2014-08-30,14,Toulouse,Evian Thonon Gaillard,1,0,10,7,0.5416809088749718,0.27009020387117705,0.1882288872538512,0.8514309999999999,0.710663,77,1,-1,3,-3,0.1407679999999999,-0.1407679999999999
EPL,2014-08-30,14,Everton,Chelsea,3,6,17,12,0.2584826412887448,0.2941889520974001,0.4473284066138551,1.4491,2.02665,78,-3,3,5,-5,-0.57755,0.57755
EPL,2014-08-30,14,Man City,Stoke,0,1,16,7,0.8192030893452695,0.12603124451465686,0.05476566614007373,0.891768,0.299792,79,-1,1,9,-9,0.5919760000000001,-0.5919760000000001
Ligue_1,2014-08-30,14,Caen,Rennes,0,1,13,10,0.3585402500038724,0.3086169240539661,0.3328428259421614,0.419379,1.17366,80,-1,1,3,-3,-0.754281,0.754281
EPL,2014-08-30,14,Burnley,Man United,0,0,9,7,0.16042795951631855,0.2345011561350973,0.6050708843485842,0.513746,0.4672810000000001,81,0,0,2,-2,0.04646499999999992,-0.04646499999999992
EPL,2014-08-30,14,Newcastle,Crystal Palace,3,3,18,12,0.5642877780988154,0.2597515169026293,0.17596070499855535,1.69776,1.6605599999999998,82,0,0,6,-6,0.03720000000000012,-0.03720000000000012
EPL,2014-08-30,14,QPR,Sunderland,1,0,18,16,0.4036009086195771,0.3036378352772669,0.29276125610315595,1.2727700000000002,0.9643430000000001,83,1,-1,2,-2,0.3084270000000001,-0.3084270000000001
La_Liga,2014-08-30,14,Ath Madrid,Eibar,2,1,15,8,0.7847110815146655,0.1556966431576717,0.059592275327662925,1.3714600000000001,0.8551129999999999,84,1,-1,7,-7,0.5163470000000002,-0.5163470000000002
Serie_A,2014-08-30,14,Chievo,Juventus,0,1,7,21,0.12636576923230125,0.237702599890858,0.6359316308768408,0.5022270000000001,2.37394,85,-1,1,-14,14,-1.8717130000000002,1.8717130000000002
Bundesliga,2014-08-30,14,Wolfsburg,Ein Frankfurt,2,2,14,9,0.6058149206925894,0.22613368007419235,0.16805139923321827,1.00484,1.59633,86,0,0,5,-5,-0.5914900000000001,0.5914900000000001
Bundesliga,2014-08-30,14,Werder Bremen,Hoffenheim,1,1,15,12,0.2925303089558076,0.262025811497849,0.44544387954634335,2.5142900000000004,1.29948,87,0,0,3,-3,1.2148100000000004,-1.2148100000000004
Bundesliga,2014-08-30,14,Stuttgart,FC Koln,0,2,14,10,0.4948714925725065,0.2684508370667295,0.23667767036076398,0.722885,1.2983,88,-2,2,4,-4,-0.575415,0.575415
Bundesliga,2014-08-30,14,Schalke 04,Bayern Munich,1,1,8,10,0.13897548554013975,0.20598672594733505,0.6550377885125253,1.30795,1.50328,89,0,0,-2,2,-0.19533,0.19533
