Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2014-11-01,14,Chelsea,QPR,2,1,1,0,0.8250186118890683,0.12586822412153736,0.04911316398939426
EPL,2014-11-01,14,Everton,Swansea,0,0,0,0,0.563453899226427,0.2546518921179176,0.18189420865565548
EPL,2014-11-01,14,Hull,Southampton,0,1,0,1,0.2447277815439794,0.27184443323860313,0.48342778521741747
EPL,2014-11-01,14,Leicester,West Brom,0,1,0,0,0.4170411025555019,0.28325045982815883,0.29970843761633925
EPL,2014-11-01,14,Newcastle,Liverpool,1,0,0,0,0.25993971920950115,0.26202479717107463,0.4780354836194241
EPL,2014-11-01,14,Stoke,West Ham,2,2,1,0,0.4049150720917043,0.29076987372757396,0.3043150541807218
EPL,2014-11-02,14,Aston Villa,Tottenham,1,2,1,0,0.25175122491453883,0.27742557079817454,0.4708232042872865
EPL,2014-11-02,14,Man City,Man United,1,0,0,0,0.516132564534951,0.2573889429439388,0.22647849252111013
EPL,2014-11-03,14,Crystal Palace,Sunderland,1,3,0,1,0.47104183757178014,0.2815422477440525,0.2474159146841674
EPL,2014-11-08,14,Burnley,Hull,1,0,0,0,0.38897687678175485,0.29173265758631617,0.3192904656319291
EPL,2014-11-08,14,Liverpool,Chelsea,1,2,1,1,0.2919159380273048,0.28347906120570643,0.4246050007669888
EPL,2014-11-08,14,Man United,Crystal Palace,1,0,0,0,0.7519936800076864,0.16654033799148082,0.0814659820008327
EPL,2014-11-08,14,QPR,Man City,2,2,1,1,0.13756078267141295,0.20764989181266139,0.6547893255159256
EPL,2014-11-08,14,Southampton,Leicester,2,0,0,0,0.6817771607080875,0.20326275598750432,0.1149600833044082
EPL,2014-11-08,14,West Ham,Aston Villa,0,0,0,0,0.5598483839128153,0.26266345089743354,0.17748816518975127
EPL,2014-11-09,14,Sunderland,Everton,1,1,0,0,0.2406793270155291,0.2814841554463228,0.4778365175381481
EPL,2014-11-09,14,Swansea,Arsenal,2,1,0,0,0.27285251013630163,0.2798687175398065,0.44727877232389174
EPL,2014-11-09,14,Tottenham,Stoke,1,2,0,2,0.5803484067760238,0.2508411272254425,0.1688104659985336
EPL,2014-11-09,14,West Brom,Newcastle,0,2,0,1,0.43358190846302347,0.2840275690221545,0.28239052251482216
EPL,2014-11-22,14,Arsenal,Man United,1,2,0,0,0.45373276271992385,0.2670470756062768,0.2792201616737993
EPL,2014-11-22,14,Chelsea,West Brom,2,0,2,0,0.7884742099987196,0.14724518379494161,0.06428060620633874
EPL,2014-11-22,14,Everton,West Ham,2,1,1,0,0.5298453114470737,0.25660047805682895,0.2135542104960973
EPL,2014-11-22,14,Leicester,Sunderland,0,0,0,0,0.46708754990251594,0.27945408968526597,0.2534583604122179
EPL,2014-11-22,14,Man City,Swansea,2,1,1,1,0.7060199827647539,0.18309100299309844,0.11088901424214777
EPL,2014-11-22,14,Newcastle,QPR,1,0,0,0,0.5296256780921754,0.26409905780876675,0.20627526409905783
EPL,2014-11-22,14,Stoke,Burnley,1,2,1,2,0.5825393038260631,0.251585097796346,0.16587559837759086
EPL,2014-11-23,14,Crystal Palace,Liverpool,3,1,1,1,0.21082299887260428,0.26211950394588496,0.5270574971815107
EPL,2014-11-23,14,Hull,Tottenham,1,2,1,0,0.26334038054968284,0.28312896405919663,0.4535306553911205
EPL,2014-11-24,14,Aston Villa,Southampton,1,1,1,0,0.1771275395640169,0.25891466205399827,0.5639577983819848
EPL,2014-11-29,14,Burnley,Aston Villa,1,1,0,1,0.4556771426070209,0.28985380372931807,0.254469053663661
EPL,2014-11-29,14,Liverpool,Stoke,1,0,0,0,0.5641123872093118,0.2510372260215352,0.18485038676915305
EPL,2014-11-29,14,Man United,Hull,3,0,2,0,0.7357706588168311,0.1731991108365284,0.0910302303466405
EPL,2014-11-29,14,QPR,Leicester,3,2,2,1,0.4225216836641177,0.28746343287412107,0.29001488346176124
EPL,2014-11-29,14,Sunderland,Chelsea,0,0,0,0,0.09630671595407111,0.19186103568975102,0.7118322483561778
EPL,2014-11-29,14,Swansea,Crystal Palace,1,1,1,1,0.542187125968696,0.26309884664968897,0.194714027381615
EPL,2014-11-29,14,West Brom,Arsenal,0,1,0,0,0.20916153032568657,0.2645610707903278,0.5262773988839855
EPL,2014-11-29,14,West Ham,Newcastle,1,0,0,0,0.46238501514604113,0.2769085401439569,0.26070644471000193
EPL,2014-11-30,14,Southampton,Man City,0,3,0,0,0.3182387312186979,0.2800500834724541,0.40171118530884814
EPL,2014-11-30,14,Tottenham,Everton,2,1,2,1,0.4373563011279686,0.2736531046163826,0.2889905942556489
EPL,2014-12-02,14,Burnley,Newcastle,1,1,1,0,0.34158984635938544,0.2979826319305277,0.3604275217100868
EPL,2014-12-02,14,Crystal Palace,Aston Villa,0,1,0,1,0.4713051999755007,0.28664175904942735,0.242053040975072
EPL,2014-12-02,14,Leicester,Liverpool,1,3,1,1,0.2577562508181699,0.2735960204215211,0.46864772876030897
EPL,2014-12-02,14,Man United,Stoke,2,1,1,1,0.6789525543178744,0.20801950600377428,0.11302793967835134
EPL,2014-12-02,14,Swansea,QPR,2,0,0,0,0.5701104641205686,0.2476237369412571,0.18226579893817438
EPL,2014-12-02,14,West Brom,West Ham,1,2,1,2,0.385679247853931,0.2941817686333288,0.32013898351274017
EPL,2014-12-03,14,Arsenal,Southampton,1,0,0,0,0.5507452335747337,0.25397059993860777,0.19528416648665856
EPL,2014-12-03,14,Chelsea,Tottenham,3,0,2,0,0.6795138399562786,0.1984786875328684,0.12200747251085302
EPL,2014-12-03,14,Everton,Hull,1,1,1,0,0.652552501280519,0.2219566330886119,0.12549086563086906
EPL,2014-12-03,14,Sunderland,Man City,1,4,1,2,0.13571872802199395,0.21011700291199498,0.6541642690660109
EPL,2014-12-06,14,Hull,West Brom,0,0,0,0,0.4081292817309089,0.2977234881927603,0.2941472300763307
EPL,2014-12-06,14,Liverpool,Sunderland,0,0,0,0,0.644968903463105,0.2198100298798026,0.13522106665709235
EPL,2014-12-06,14,Man City,Everton,1,0,1,0,0.6461848011143786,0.20677913635660114,0.1470360625290203
EPL,2014-12-06,14,Newcastle,Chelsea,2,1,0,0,0.1425906940810179,0.22449061219162542,0.6329186937273569
EPL,2014-12-06,14,QPR,Burnley,2,0,0,0,0.4710977549938129,0.2899063107654234,0.23899593424076368
